repo,pr_number,user,created_at,merged_at,closed_at,num_reviews,response_time_hours,review_time_hours,lines_of_code,changed_files,reviewers,url
kubernetes/kubernetes,129937,pohly,2025-01-31T18:45:45Z,2025-02-03T13:24:57Z,2025-02-03T13:24:57Z,0,,66.65333333333334,16,1,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129937
kubernetes/kubernetes,129934,serathius,2025-01-31T14:35:15Z,2025-02-10T20:05:57Z,2025-02-10T20:05:57Z,0,,245.51166666666666,6,3,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129934
kubernetes/kubernetes,129933,serathius,2025-01-31T13:41:01Z,2025-02-11T14:29:59Z,2025-02-11T14:29:59Z,3,80.61527777777778,264.8161111111111,11,4,"serathius, liggitt",https://api.github.com/repos/kubernetes/kubernetes/pulls/129933
kubernetes/kubernetes,129930,serathius,2025-01-31T13:07:01Z,2025-02-05T18:18:24Z,2025-02-05T18:18:24Z,0,,125.18972222222222,28,4,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129930
kubernetes/kubernetes,129929,serathius,2025-01-31T10:47:30Z,2025-02-06T01:18:16Z,2025-02-06T01:18:16Z,0,,134.51277777777779,6,3,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129929
kubernetes/kubernetes,129928,mimowo,2025-01-31T09:48:44Z,2025-02-04T16:35:00Z,2025-02-04T16:35:00Z,2,0.415,102.77111111111111,8,1,"Verolop, soltysh",https://api.github.com/repos/kubernetes/kubernetes/pulls/129928
kubernetes/kubernetes,129927,mimowo,2025-01-31T09:47:31Z,2025-02-04T16:39:00Z,2025-02-04T16:39:00Z,2,0.4375,102.85805555555555,8,1,"Verolop, soltysh",https://api.github.com/repos/kubernetes/kubernetes/pulls/129927
kubernetes/kubernetes,129921,srivastav-abhishek,2025-01-31T04:58:14Z,2025-02-05T18:18:17Z,2025-02-05T18:18:17Z,2,89.73444444444445,133.33416666666668,6,1,"srivastav-abhishek, liggitt",https://api.github.com/repos/kubernetes/kubernetes/pulls/129921
kubernetes/kubernetes,129920,googs1025,2025-01-31T02:45:19Z,2025-02-03T16:46:57Z,2025-02-03T16:46:57Z,5,81.59388888888888,86.02722222222222,109,1,"macsko, googs1025",https://api.github.com/repos/kubernetes/kubernetes/pulls/129920
kubernetes/kubernetes,129914,soltysh,2025-01-30T18:09:48Z,2025-01-31T05:33:23Z,2025-01-31T05:33:23Z,1,10.15638888888889,11.393055555555556,3,1,Rajalakshmi-Girish,https://api.github.com/repos/kubernetes/kubernetes/pulls/129914
kubernetes/kubernetes,129913,mimowo,2025-01-30T17:29:11Z,2025-01-30T19:07:23Z,2025-01-30T19:07:23Z,1,0.14,1.6366666666666667,4,1,soltysh,https://api.github.com/repos/kubernetes/kubernetes/pulls/129913
kubernetes/kubernetes,129912,mimowo,2025-01-30T16:57:50Z,,2025-01-31T09:49:55Z,1,0.0636111111111111,16.868055555555557,4,1,soltysh,https://api.github.com/repos/kubernetes/kubernetes/pulls/129912
kubernetes/kubernetes,129911,mimowo,2025-01-30T16:57:35Z,,2025-01-31T09:49:28Z,1,0.06555555555555556,16.864722222222223,4,1,soltysh,https://api.github.com/repos/kubernetes/kubernetes/pulls/129911
kubernetes/kubernetes,129910,bitoku,2025-01-30T16:29:23Z,2025-02-05T00:23:09Z,2025-02-05T00:23:09Z,2,2.7647222222222223,127.89611111111111,9,1,"SergeyKanzhelev, matthyx",https://api.github.com/repos/kubernetes/kubernetes/pulls/129910
kubernetes/kubernetes,129903,jacobsalway,2025-01-30T09:05:28Z,,2025-01-30T09:38:36Z,0,,0.5522222222222222,6027882,26262,,https://api.github.com/repos/kubernetes/kubernetes/pulls/129903
kubernetes/kubernetes,129901,bart0sh,2025-01-30T08:35:40Z,2025-01-31T09:52:57Z,2025-01-31T09:52:57Z,2,9.636111111111111,25.288055555555555,29,8,"SergeyKanzhelev, pohly",https://api.github.com/repos/kubernetes/kubernetes/pulls/129901
